s,h,vaf0,delta_t,rho,identifiable
0.46,1.0,0.01,5.0,0.8694442293668003,1
0.46,1.0,0.01,6.63,0.9844106276807628,1
0.46,1.0,0.03,0.6,0.044624547887789266,0
0.46,1.0,0.03,1.5,0.13921559495130978,0
0.46,1.0,0.03,3.0,0.5617284128892628,1
0.46,1.0,0.03,5.0,0.9529422934546826,1
0.46,1.0,0.03,6.63,0.9948190875099416,1
0.46,1.0,0.05,0.6,0.07314890049115653,0
0.46,1.0,0.05,1.5,0.21462047611051724,0
0.46,1.0,0.05,3.0,0.6841055694998776,1
0.46,1.0,0.05,5.0,0.9716041143906909,1
0.46,1.0,0.05,6.63,0.9969272478487411,1
0.46,1.0,0.1,0.6,0.1405103864365846,0
0.46,1.0,0.1,1.5,0.36145436956331545,0
0.46,1.0,0.1,3.0,0.8177150300492572,1
0.46,1.0,0.1,5.0,0.9860872982467987,1
0.46,1.0,0.1,6.63,0.9985142410119129,1
0.46,1.0,0.15,0.6,0.20274515651776645,0
0.46,1.0,0.15,1.5,0.4682366877732212,0
0.46,1.0,0.15,3.0,0.874656736067576,1
0.46,1.0,0.15,5.0,0.9910114578349644,1
0.46,1.0,0.15,6.63,0.9990443621335334,1
0.64,0.0,0.01,0.6,0.060664142640496764,0
0.64,0.0,0.01,1.5,0.2666237666272791,0
0.64,0.0,0.01,3.0,0.8662475132758481,1
0.64,0.0,0.01,5.0,0.9966922693045602,1
0.64,0.0,0.01,6.63,0.9998548764103272,1
0.64,0.0,0.03,0.6,0.1680465712980037,0
0.64,0.0,0.03,1.5,0.5320720762739314,1
0.64,0.0,0.03,3.0,0.9529550714700756,1
0.64,0.0,0.03,5.0,0.9989400411665128,1
0.64,0.0,0.03,6.63,0.9999535953594869,1
0.64,0.0,0.05,0.6,0.26014316689417627,0
0.64,0.0,0.05,1.5,0.6643578612138924,1
0.64,0.0,0.05,3.0,0.9724221048416476,1
0.64,0.0,0.05,5.0,0.9993908127069531,1
0.64,0.0,0.05,6.63,0.999973341488608,1
0.64,0.0,0.1,0.6,0.4416928911416159,0
0.64,0.0,0.1,1.5,0.8166338173605329,1
0.64,0.0,0.1,3.0,0.9875524481067939,1
0.64,0.0,0.1,5.0,0.9997291584290662,1
0.64,0.0,0.1,6.63,0.9999881515972364,1
0.64,0.0,0.15,0.6,0.5755915895851527,1
0.64,0.0,0.15,1.5,0.8841880631411931,1
0.64,0.0,0.15,3.0,0.9927010723201884,1
0.64,0.0,0.15,5.0,0.9998419912522313,1
0.64,0.0,0.15,6.63,0.9999930883975998,1
0.64,0.2,0.01,0.6,0.0438514079820365,0
0.64,0.2,0.01,1.5,0.20519981942088955,0
0.64,0.2,0.01,3.0,0.8214046888897726,1
0.64,0.2,0.01,5.0,0.995348455166677,1
0.64,0.2,0.01,6.63,0.999795654396325,1
0.64,0.2,0.03,0.6,0.12410912082751718,0
0.64,0.2,0.03,1.5,0.44371943253623386,0
0.64,0.2,0.03,3.0,0.9342521666158753,1
0.64,0.2,0.03,5.0,0.9984896760804246,1
0.64,0.2,0.03,6.63,0.9999338500101904,1
0.64,0.2,0.05,0.6,0.19576928200400545,0
0.64,0.2,0.05,1.5,0.5781175845289367,1
0.64,0.2,0.05,3.0,0.9606475987253056,1
0.64,0.2,0.05,5.0,0.9991203009773616,1
0.64,0.2,0.05,6.63,0.9999614937175537,1
0.64,0.2,0.1,0.6,0.3453009137270594,0
0.64,0.2,0.1,1.5,0.7480502573080121,1
0.64,0.2,0.1,3.0,0.9814441595536302,1
0.64,0.2,0.1,5.0,0.9995937926525171,1
0.64,0.2,0.1,6.63,0.9999822275011424,1
0.64,0.2,0.15,0.6,0.46324567038528003,0
0.64,0.2,0.15,1.5,0.829306040941135,1
0.64,0.2,0.15,3.0,0.9885778959952003,1
0.64,0.2,0.15,5.0,0.999751722956332,1
0.64,0.2,0.15,6.63,0.9999891389534094,1
0.64,0.4,0.01,0.6,0.034335509658501594,0
0.64,0.4,0.01,1.5,0.16677802178793869,0
0.64,0.4,0.01,3.0,0.7809760895608536,1
0.64,0.4,0.01,5.0,0.99400825980865,1
0.64,0.4,0.01,6.63,0.9997364393974194,1
0.64,0.4,0.03,0.6,0.09838530304256178,0
0.64,0.4,0.03,1.5,0.38053080758648594,0
0.64,0.4,0.03,3.0,0.9162692654224456,1
0.64,0.4,0.03,5.0,0.998039716899195,1
0.64,0.4,0.03,6.63,0.9999141054406725,1
0.64,0.4,0.05,0.6,0.15693486897250786,0
0.64,0.4,0.05,1.5,0.5116945307950453,1
0.64,0.4,0.05,3.0,0.9491548228907796,1
